LockID,LockName,LockLocation,LockStatus,LockCreatedAt,LockOwnerID,AutoLockTime,SensorID,SensorLocation,SensorStatus,SensorLastUpdated,SensorType,DataID,DataType,DataValue,DataTimestamp
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,6,temperature,22.5,"2025-01-14 08:00:00"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,14,temperature,14,"2025-01-15 20:37:29"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,15,temperature,5,"2025-01-15 20:45:10"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,16,temperature,22.5,"2025-01-14 08:00:00"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,17,temperature,14,"2025-01-15 20:37:29"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,18,temperature,5,"2025-01-15 20:45:10"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,26,temperature,22.5,"2025-01-14 08:00:00"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,27,temperature,14,"2025-01-15 20:37:29"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,28,temperature,5,"2025-01-15 20:45:10"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,36,temperature,22.5,"2025-01-14 08:00:00"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,37,temperature,14,"2025-01-15 20:37:29"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,38,temperature,5,"2025-01-15 20:45:10"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,46,temperature,22.5,"2025-01-14 08:00:00"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,47,temperature,14,"2025-01-15 20:37:29"
7,"New Main Door Lock","Entrance Hall",locked,"2025-01-13 17:54:41",32,30,29,,active,"2025-01-13 20:00:00",temperature,48,temperature,5,"2025-01-15 20:45:10"
